# wio [Celsius] West Indian Ocean SST anomalies
# from <a href=http://www.jamstec.go.jp/frcgc/research/d1/iod/e/iod/about_iod.html>JAMSTEC</a>
1890 8 -0.524454
1890 9 -0.346221
1890 10 -0.175083
1890 11 -0.320345
1890 12 -0.311615
1891 1 -0.359398
1891 2 -0.0633368
1891 3 0.0567358
1891 4 -0.140069
1891 5 -0.229993
1891 6 -0.333228
1891 7 -0.492315
1891 8 -0.624471
1891 9 -0.584833
1891 10 -0.525546
1891 11 -0.403922
1891 12 -0.389715
1892 1 -0.0930644
1892 2 0.13962
1892 3 -0.127753
1892 4 -0.109518
1892 5 -0.00403276
1892 6 0.188878
1892 7 -0.175984
1892 8 0.0712293
1892 9 0.228332
1892 10 -0.302932
1892 11 -0.510439
1892 12 -0.526893
1893 1 -0.495312
1893 2 -0.453597
1893 3 -0.109579
1893 4 -0.15419
1893 5 -0.251777
1893 6 -0.240015
1893 7 -0.118244
1893 8 -0.0395193
1893 9 -0.134356
1893 10 -0.109146
1893 11 -0.307502
1893 12 -0.328647
1894 1 -0.505887
1894 2 -0.266873
1894 3 -0.270756
1894 4 -0.215368
1894 5 -0.45586
1894 6 -0.566602
1894 7 -0.567583
1894 8 -0.792284
1894 9 -0.568804
1894 10 -0.522856
1894 11 -0.480557
1894 12 -0.360499
1895 1 -0.39953
1895 2 -0.381426
1895 3 -0.306581
1895 4 -0.341373
1895 5 -0.387577
1895 6 -0.33941
1895 7 -0.291275
1895 8 -0.297744
1895 9 -0.22092
1895 10 -0.305469
1895 11 0.0482113
1895 12 -0.106213
1896 1 0.085386
1896 2 0.178215
1896 3 0.171034
1896 4 0.029266
1896 5 0.00399789
1896 6 -0.0434484
1896 7 -0.216114
1896 8 -0.264949
1896 9 -0.394572
1896 10 -0.600061
1896 11 -0.413998
1896 12 -0.130531
1897 1 0.103065
1897 2 0.257762
1897 3 0.253812
1897 4 0.021262
1897 5 -0.10015
1897 6 -0.036353
1897 7 0.130906
1897 8 0.206039
1897 9 0.168033
1897 10 0.504491
1897 11 0.138363
1897 12 0.142771
1898 1 -0.0408532
1898 2 -0.129719
1898 3 -0.364793
1898 4 -0.17189
1898 5 -0.114842
1898 6 -0.208507
1898 7 0.105062
1898 8 0.0497372
1898 9 0.0482585
1898 10 0.09776
1898 11 -0.161445
1898 12 -0.292578
1899 1 -0.461477
1899 2 -0.53182
1899 3 -0.54883
1899 4 -0.503442
1899 5 -0.436249
1899 6 -0.343859
1899 7 -0.213857
1899 8 -0.277574
1899 9 -0.240369
1899 10 -0.168173
1899 11 -0.161839
1899 12 0.146296
1900 1 0.0979216
1900 2 0.201473
1900 3 0.175631
1900 4 0.199691
1900 5 -0.00350956
1900 6 -0.112456
1900 7 -0.022472
1900 8 0.0173975
1900 9 0.0324488
1900 10 -0.148623
1900 11 -0.146039
1900 12 0.284664
1901 1 0.309502
1901 2 0.195094
1901 3 0.113276
1901 4 0.0603464
1901 5 0.0432889
1901 6 -0.0722152
1901 7 -0.242489
1901 8 -0.035239
1901 9 -0.155688
1901 10 -0.103753
1901 11 -0.0889129
1901 12 -0.0272233
1902 1 -0.0447497
1902 2 0.00464626
1902 3 -0.205954
1902 4 -0.346807
1902 5 -0.350704
1902 6 -0.216107
1902 7 -0.429866
1902 8 -0.620385
1902 9 -0.701422
1902 10 -0.24012
1902 11 -0.455422
1902 12 -0.151827
1903 1 0.0179251
1903 2 0.0866387
1903 3 -0.0594377
1903 4 0.0344942
1903 5 -0.218276
1903 6 -0.0306669
1903 7 -0.0528341
1903 8 -0.0607881
1903 9 -0.0772361
1903 10 -0.0345494
1903 11 -0.314937
1903 12 -0.332769
1904 1 -0.638223
1904 2 -0.349739
1904 3 -0.437962
1904 4 -0.627337
1904 5 -0.420665
1904 6 -0.308058
1904 7 -0.301774
1904 8 -0.27039
1904 9 -0.180865
1904 10 -0.359032
1904 11 -0.267959
1904 12 -0.0426157
1905 1 -0.0475568
1905 2 -0.0193096
1905 3 0.0918476
1905 4 -0.261061
1905 5 -0.324646
1905 6 0.117911
1905 7 -0.213667
1905 8 -0.325126
1905 9 -0.406109
1905 10 -0.14081
1905 11 0.0215204
1905 12 0.228378
1906 1 0.224384
1906 2 0.357489
1906 3 0.158029
1906 4 0.211803
1906 5 0.0208802
1906 6 0.0266525
1906 7 0.139459
1906 8 0.283839
1906 9 0.475718
1906 10 0.129564
1906 11 -0.0884104
1906 12 -0.395428
1907 1 -0.0310825
1907 2 -0.196396
1907 3 -0.346786
1907 4 -0.0306355
1907 5 -0.3092
1907 6 -0.380212
1907 7 -0.260861
1907 8 -0.175601
1907 9 -0.18346
1907 10 -0.251425
1907 11 -0.173117
1907 12 -0.186763
1908 1 -0.0223686
1908 2 -0.0683628
1908 3 -0.360313
1908 4 0.0411224
1908 5 -0.222312
1908 6 -0.278165
1908 7 -0.134972
1908 8 -0.020544
1908 9 -0.35936
1908 10 -0.126566
1908 11 -0.107707
1908 12 -0.218492
1909 1 0.0110403
1909 2 -0.152233
1909 3 -0.0345049
1909 4 -0.0389392
1909 5 0.0306821
1909 6 0.0211541
1909 7 0.0719501
1909 8 0.059223
