# HadSST 3.1.1.0 nh averaged SST anomalies, median of ensemble
# source: <a href="http://www.metoffice.gov.uk/hadobs/hadsst3/data/download.html">Met Office</a>
# SSTa [K] nh SST anomalies
1870 11   -0.117 
1870 12    0.005 
1871 01   -0.229 
1871 02   -0.280 
1871 03   -0.196 
1871 04    0.126 
1871 05    0.034 
1871 06   -0.105 
1871 07    0.045 
1871 08   -0.253 
1871 09   -0.511 
1871 10   -0.478 
1871 11   -0.452 
1871 12   -0.155 
1872 01   -0.467 
1872 02   -0.561 
1872 03   -0.448 
1872 04   -0.218 
1872 05   -0.122 
1872 06   -0.014 
1872 07    0.101 
1872 08    0.227 
1872 09    0.154 
1872 10   -0.191 
1872 11   -0.328 
1872 12   -0.348 
1873 01   -0.027 
1873 02   -0.521 
1873 03   -0.287 
1873 04   -0.281 
1873 05   -0.409 
1873 06   -0.371 
1873 07   -0.290 
1873 08   -0.188 
1873 09   -0.051 
1873 10   -0.247 
1873 11   -0.228 
1873 12   -0.160 
1874 01    0.175 
1874 02   -0.369 
1874 03   -0.405 
1874 04   -0.273 
1874 05   -0.247 
1874 06   -0.245 
1874 07   -0.290 
1874 08   -0.375 
1874 09   -0.159 
1874 10   -0.423 
1874 11   -0.417 
1874 12   -0.611 
1875 01   -0.375 
1875 02   -0.308 
1875 03   -0.384 
1875 04   -0.329 
1875 05   -0.142 
1875 06   -0.250 
1875 07   -0.251 
1875 08   -0.041 
1875 09    0.020 
1875 10    0.026 
1875 11   -0.310 
1875 12   -0.438 
1876 01   -0.536 
1876 02   -0.322 
1876 03   -0.332 
1876 04   -0.332 
1876 05   -0.506 
1876 06   -0.187 
1876 07    0.129 
1876 08   -0.084 
1876 09   -0.252 
1876 10   -0.414 
1876 11   -0.190 
1876 12   -0.043 
1877 01   -0.302 
1877 02    0.259 
1877 03   -0.120 
1877 04   -0.054 
1877 05   -0.076 
1877 06    0.157 
1877 07    0.192 
1877 08    0.346 
1877 09    0.266 
1877 10    0.302 
1877 11    0.312 
1877 12    0.336 
1878 01    0.308 
1878 02    0.276 
1878 03    0.206 
1878 04    0.559 
1878 05    0.342 
1878 06    0.342 
1878 07    0.045 
1878 08    0.187 
1878 09    0.218 
1878 10   -0.213 
1878 11   -0.216 
1878 12   -0.067 
1879 01    0.007 
1879 02    0.024 
1879 03   -0.005 
1879 04   -0.143 
1879 05   -0.033 
1879 06   -0.174 
1879 07   -0.275 
1879 08   -0.212 
1879 09   -0.204 
1879 10   -0.112 
1879 11   -0.299 
1879 12   -0.286 
1880 01   -0.081 
1880 02   -0.262 
1880 03    0.003 
1880 04    0.021 
1880 05   -0.298 
1880 06   -0.161 
1880 07   -0.095 
1880 08   -0.088 
1880 09   -0.260 
1880 10   -0.153 
1880 11   -0.156 
1880 12   -0.220 
1881 01    0.045 
1881 02    0.061 
1881 03    0.025 
1881 04   -0.004 
1881 05   -0.014 
1881 06   -0.055 
1881 07   -0.244 
1881 08   -0.196 
1881 09   -0.302 
1881 10   -0.366 
1881 11   -0.485 
1881 12   -0.237 
1882 01   -0.101 
1882 02   -0.228 
1882 03   -0.249 
1882 04   -0.252 
1882 05   -0.277 
1882 06   -0.259 
1882 07   -0.165 
1882 08   -0.269 
1882 09   -0.222 
1882 10   -0.268 
1882 11   -0.172 
1882 12   -0.238 
1883 01   -0.368 
1883 02   -0.205 
1883 03   -0.322 
1883 04   -0.225 
1883 05   -0.240 
1883 06   -0.132 
1883 07   -0.134 
1883 08   -0.039 
1883 09   -0.336 
1883 10   -0.478 
1883 11   -0.356 
1883 12   -0.210 
1884 01   -0.444 
1884 02   -0.075 
1884 03   -0.168 
1884 04   -0.339 
1884 05   -0.140 
1884 06   -0.348 
1884 07   -0.376 
1884 08   -0.285 
1884 09   -0.446 
1884 10   -0.348 
1884 11   -0.632 
1884 12   -0.419 
1885 01   -0.260 
1885 02   -0.368 
1885 03   -0.363 
1885 04   -0.334 
1885 05   -0.223 
1885 06   -0.365 
1885 07   -0.223 
1885 08   -0.150 
1885 09   -0.223 
1885 10    0.023 
1885 11   -0.232 
1885 12   -0.144 
1886 01   -0.021 
1886 02   -0.226 
1886 03   -0.169 
1886 04   -0.227 
1886 05   -0.191 
1886 06   -0.244 
1886 07   -0.189 
1886 08   -0.290 
1886 09   -0.417 
1886 10   -0.275 
1886 11   -0.409 
1886 12   -0.394 
1887 01   -0.420 
1887 02   -0.491 
1887 03   -0.334 
1887 04   -0.331 
1887 05   -0.403 
1887 06   -0.203 
1887 07   -0.155 
1887 08   -0.187 
1887 09   -0.437 
1887 10   -0.219 
1887 11   -0.306 
1887 12   -0.046 
1888 01   -0.092 
1888 02   -0.235 
1888 03   -0.146 
1888 04   -0.024 
1888 05   -0.132 
1888 06   -0.042 
1888 07   -0.186 
1888 08   -0.183 
1888 09   -0.196 
1888 10    0.061 
1888 11   -0.007 
1888 12   -0.009 
1889 01    0.216 
1889 02    0.080 
1889 03    0.007 
1889 04    0.043 
1889 05   -0.034 
