# seio [Celsius] East Indian Ocean SST anomalies
# from <a href=http://www.jamstec.go.jp/frcgc/research/d1/iod/e/iod/about_iod.html>JAMSTEC</a>
1893 8 -0.473064
1893 9 -0.417549
1893 10 -0.498206
1893 11 -0.531613
1893 12 -0.45544
1894 1 -0.38684
1894 2 -0.334621
1894 3 -0.360011
1894 4 -0.320279
1894 5 -0.437612
1894 6 -0.439438
1894 7 -0.420395
1894 8 -0.354882
1894 9 -0.499541
1894 10 -0.464347
1894 11 -0.483246
1894 12 -0.377143
1895 1 -0.39789
1895 2 -0.25154
1895 3 -0.247974
1895 4 -0.313044
1895 5 -0.310149
1895 6 -0.237862
1895 7 -0.376534
1895 8 -0.0613877
1895 9 -0.129984
1895 10 -0.0767551
1895 11 -0.166592
1895 12 -0.240127
1896 1 -0.102994
1896 2 -0.208104
1896 3 -0.212939
1896 4 -0.046163
1896 5 0.0241824
1896 6 0.0253452
1896 7 0.0054391
1896 8 -0.0917563
1896 9 -0.0169952
1896 10 0.0778439
1896 11 -0.108767
1896 12 0.189145
1897 1 0.0966602
1897 2 0.12888
1897 3 0.14179
1897 4 0.0527365
1897 5 -0.0500863
1897 6 -0.065804
1897 7 0.204914
1897 8 0.288374
1897 9 0.00588782
1897 10 -0.216803
1897 11 -0.477985
1897 12 -0.361136
1898 1 -0.395534
1898 2 -0.381817
1898 3 -0.521341
1898 4 -0.334201
1898 5 -0.368491
1898 6 -0.414071
1898 7 -0.374695
1898 8 -0.445998
1898 9 -0.438766
1898 10 -0.420853
1898 11 -0.535164
1898 12 -0.525571
1899 1 -0.680898
1899 2 -0.629754
1899 3 -0.54526
1899 4 -0.426198
1899 5 -0.297082
1899 6 -0.500005
1899 7 -0.45457
1899 8 -0.40474
1899 9 -0.760138
1899 10 -0.201204
1899 11 -0.320188
1899 12 -0.360476
1900 1 -0.181494
1900 2 0.0920784
1900 3 -0.116093
1900 4 0.0879192
1900 5 0.0661469
1900 6 0.0637115
1900 7 -0.0158942
1900 8 -0.153825
1900 9 -0.105974
1900 10 -0.184961
1900 11 -0.0658679
1900 12 -0.115312
