# siod [Celsius] DMI (WIO-SEIO) SST anomalies
# from <a href=http://www.jamstec.go.jp/frcgc/research/d1/iod/e/iod/about_iod.html>JAMSTEC</a>
1893 9 -0.283193
1893 10 -0.38906
1893 11 -0.224111
1893 12 -0.126793
1894 1 0.119047
1894 2 -0.0677483
1894 3 -0.0892545
1894 4 -0.104911
1894 5 0.0182482
1894 6 0.127164
1894 7 0.147189
1894 8 0.437401
1894 9 0.0692626
1894 10 0.0585091
1894 11 -0.00268933
1894 12 -0.0166446
1895 1 0.00164044
1895 2 0.129885
1895 3 0.0586073
1895 4 0.0283284
1895 5 0.0774277
1895 6 0.101548
1895 7 -0.0852586
1895 8 0.236356
1895 9 0.0909365
1895 10 0.228714
1895 11 -0.214803
1895 12 -0.133914
1896 1 -0.18838
1896 2 -0.386319
1896 3 -0.383973
1896 4 -0.075429
1896 5 0.0201845
1896 6 0.0687935
1896 7 0.221553
1896 8 0.173193
1896 9 0.377577
1896 10 0.677905
1896 11 0.305231
1896 12 0.319676
1897 1 -0.00640525
1897 2 -0.128882
1897 3 -0.112023
1897 4 0.0314745
1897 5 0.0500637
1897 6 -0.0294509
1897 7 0.0740087
1897 8 0.0823357
1897 9 -0.162145
1897 10 -0.721294
1897 11 -0.616348
1897 12 -0.503908
1898 1 -0.35468
1898 2 -0.252097
1898 3 -0.156548
1898 4 -0.162311
1898 5 -0.253648
1898 6 -0.205564
1898 7 -0.479757
1898 8 -0.495735
1898 9 -0.487024
1898 10 -0.518613
1898 11 -0.373719
1898 12 -0.232992
1899 1 -0.219421
1899 2 -0.0979343
1899 3 0.0035702
1899 4 0.0772444
1899 5 0.139167
1899 6 -0.156146
1899 7 -0.240713
1899 8 -0.127166
1899 9 -0.519768
1899 10 -0.0330315
1899 11 -0.158349
1899 12 -0.506772
1900 1 -0.279416
1900 2 -0.109395
1900 3 -0.291723
1900 4 -0.111772
1900 5 0.0696564
1900 6 0.176168
1900 7 0.00657781
1900 8 -0.171222
1900 9 -0.138423
1900 10 -0.0363386
1900 11 0.0801711
1900 12 -0.399976
1901 1 -0.350202
1901 2 -0.67535
1901 3 -0.549242
1901 4 -0.308079
1901 5 -0.32193
1901 6 -0.391962
1901 7 -0.38426
1901 8 -0.513961
1901 9 -0.625271
1901 10 -0.376383
1901 11 -0.45324
1901 12 -0.435217
1902 1 -0.268586
1902 2 -0.255994
1902 3 -0.0624926
1902 4 0.263633
1902 5 0.179107
1902 6 0.126726
1902 7 0.248889
1902 8 0.641187
1902 9 0.59737
1902 10 0.150508
1902 11 0.22545
1902 12 -0.0369335
1903 1 -0.290331
1903 2 -0.377602
1903 3 -0.197458
1903 4 -0.414811
1903 5 -0.0330383
1903 6 -0.113453
1903 7 -0.284241
1903 8 -0.13079
1903 9 -0.285974
1903 10 -0.636452
1903 11 -0.343538
1903 12 -0.197483
1904 1 -0.0267564
1904 2 -0.0381833
1904 3 -0.0423182
1904 4 0.183662
1904 5 -0.0259752
1904 6 -0.0612625
1904 7 0.0462306
1904 8 -0.0972488
1904 9 -0.278585
1904 10 0.154962
1904 11 -0.0656616
1904 12 -0.40132
1905 1 -0.402759
1905 2 -0.181713
1905 3 -0.300236
1905 4 -0.254911
1905 5 0.0321738
1905 6 -0.227757
1905 7 0.056021
1905 8 0.0898788
1905 9 0.417223
1905 10 -0.0797468
1905 11 -0.164077
1905 12 -0.326196
1906 1 -0.410073
1906 2 -0.295885
1906 3 -0.337766
1906 4 -0.572841
1906 5 -0.187311
1906 6 -0.162494
1906 7 -0.659502
1906 8 -0.759425
1906 9 -1.21871
1906 10 -0.607948
1906 11 -0.510048
1906 12 -0.107172
1907 1 -0.174925
1907 2 0.00764772
1907 3 0.126207
1907 4 -0.1561
1907 5 -0.0729354
1907 6 -0.123177
1907 7 -0.275003
1907 8 -0.620957
1907 9 -0.126329
1907 10 -0.0146045
1907 11 -0.104823
1907 12 0.0143368
1908 1 -0.202235
1908 2 -0.156528
1908 3 -0.0835922
1908 4 -0.574315
1908 5 -0.00239287
1908 6 0.25958
1908 7 -0.268794
1908 8 -0.146428
1908 9 0.0738224
1908 10 -0.075346
1908 11 -0.217144
1908 12 -0.342065
1909 1 -0.532336
1909 2 -0.299466
1909 3 -0.372124
1909 4 -0.229339
1909 5 -0.564971
1909 6 -0.689399
1909 7 -0.697756
1909 8 -0.672397
1909 9 -0.517116
