# HadSST 3.1.1.0 tropics averaged SST anomalies, median of ensemble
# source: <a href="http://www.metoffice.gov.uk/hadobs/hadsst3/data/download.html">Met Office</a>
# SSTa [K] tropics SST anomalies
1870 07   -0.227 
1870 08   -0.092 
1870 09   -0.213 
1870 10   -0.344 
1870 11   -0.619 
1870 12   -0.215 
1871 01   -0.394 
1871 02   -0.272 
1871 03   -0.063 
1871 04   -0.121 
1871 05   -0.148 
1871 06   -0.186 
1871 07    0.046 
1871 08   -0.186 
1871 09   -0.448 
1871 10   -0.265 
1871 11   -0.146 
1871 12   -0.162 
1872 01   -0.403 
1872 02   -0.329 
1872 03   -0.470 
1872 04   -0.321 
1872 05   -0.355 
1872 06   -0.240 
1872 07   -0.115 
1872 08    0.081 
1872 09   -0.312 
1872 10   -0.229 
1872 11   -0.326 
1872 12   -0.468 
1873 01   -0.274 
1873 02   -0.400 
1873 03   -0.336 
1873 04   -0.159 
1873 05   -0.195 
1873 06   -0.546 
1873 07   -0.415 
1873 08   -0.326 
1873 09   -0.142 
1873 10   -0.303 
1873 11   -0.416 
1873 12   -0.353 
1874 01   -0.161 
1874 02   -0.589 
1874 03   -0.525 
1874 04   -0.841 
1874 05   -0.370 
1874 06   -0.602 
1874 07   -0.223 
1874 08   -0.668 
1874 09   -0.364 
1874 10   -0.765 
1874 11   -0.728 
1874 12   -0.459 
1875 01   -0.320 
1875 02   -0.186 
1875 03   -0.327 
1875 04   -0.506 
1875 05   -0.250 
1875 06   -0.437 
1875 07   -0.377 
1875 08   -0.417 
1875 09   -0.041 
1875 10   -0.149 
1875 11    0.040 
1875 12   -0.179 
1876 01   -0.269 
1876 02   -0.315 
1876 03   -0.076 
1876 04   -0.243 
1876 05   -0.342 
1876 06   -0.375 
1876 07   -0.294 
1876 08   -0.470 
1876 09   -0.749 
1876 10   -0.469 
1876 11   -0.288 
1876 12   -0.303 
1877 01   -0.438 
1877 02    0.006 
1877 03   -0.274 
1877 04   -0.020 
1877 05   -0.262 
1877 06    0.060 
1877 07    0.147 
1877 08    0.262 
1877 09    0.501 
1877 10    0.504 
1877 11    0.253 
1877 12    0.541 
1878 01    0.995 
1878 02    0.786 
1878 03    0.407 
1878 04    0.590 
1878 05    0.461 
1878 06    0.432 
1878 07    0.263 
1878 08    0.059 
1878 09   -0.145 
1878 10   -0.067 
1878 11   -0.063 
1878 12   -0.199 
1879 01   -0.174 
1879 02   -0.053 
1879 03   -0.198 
1879 04   -0.294 
1879 05   -0.131 
1879 06   -0.213 
1879 07   -0.393 
1879 08   -0.127 
