# MEI [1] Multivariate ENSO Index
# shifted by 0.5 month, i.e., the Jan value represents the Dec/Jan MEI index.
# from <a href="http://www.cdc.noaa.gov/people/klaus.wolter/MEI/"ESRL</a>
2005	.31	.81	1.055	.589	.801	.519	.508	.329	.288	-.149	-.376	-.576
2006	-.435	-.411	-.533	-.689	-.004	.592	.669	.76	.825	.934	1.322	.998
2007	1.012	.542	.112	-.053	.226	-.221	-.246	-.409	-1.092	-1.103	-1.119	-1.129
2008	-.968	-1.355	-1.583	-.964	-.352	.16	.073	-.24	-.561	-.72	-.502	-.608
2009	-.711	-.677	-.678	-.156	.366	.894	1.001	.991	.805	1.038	1.088	1.041
2010	1.152	1.521	1.427	.894	.62	-.269	-1.073	-1.777	-1.954	-1.896	-1.523	-1.529
2011	-1.645	-1.53	-1.511	-1.478	-.273	-.048	-.05	-.44	-.713	-.939	-.886	-.912
2012	-.995	-.665	-.377	.052	.739	.936	1.168	.581	.328	.139	.21	.081
2013	.069	-.119	-.128	.002	.116	-.181	-.373	-.528	-.095	.135	-.027	-.255
2014	-.287	-.241	.032	.193	.967	.997	.923	.938	.602	.411	.772	.611
2015	.419	.468	.67	.953	1.567	2.06	1.972	2.367	2.527	2.225	2.308	2.123
2016	2.202	2.121	1.96  -999.9 -999.9 -999.9 -999.9 -999.9 -999.9 -999.9 -999.9 -999.9
