# wio [Celsius] West Indian Ocean SST anomalies
# from <a href=http://www.jamstec.go.jp/frcgc/research/d1/iod/e/iod/about_iod.html>JAMSTEC</a>
1893 9 -0.138092
1893 10 -0.111759
1893 11 -0.311812
1893 12 -0.334667
1894 1 -0.505887
1894 2 -0.270509
1894 3 -0.274781
1894 4 -0.218737
1894 5 -0.45987
1894 6 -0.570229
1894 7 -0.57164
1894 8 -0.794586
1894 9 -0.572539
1894 10 -0.525469
1894 11 -0.484867
1894 12 -0.366519
1895 1 -0.39953
1895 2 -0.385061
1895 3 -0.310606
1895 4 -0.344741
1895 5 -0.391587
1895 6 -0.343037
1895 7 -0.295332
1895 8 -0.300046
1895 9 -0.224656
1895 10 -0.308082
1895 11 0.0439012
1895 12 -0.112232
1896 1 0.085386
1896 2 0.174579
1896 3 0.167009
1896 4 0.0258974
1896 5 -1.26097e-05
1896 6 -0.0470754
1896 7 -0.22017
1896 8 -0.267252
1896 9 -0.398307
1896 10 -0.602674
1896 11 -0.418308
1896 12 -0.136551
1897 1 0.103065
1897 2 0.254126
1897 3 0.249787
1897 4 0.0178933
1897 5 -0.10416
1897 6 -0.0399801
1897 7 0.126849
1897 8 0.203736
1897 9 0.164298
1897 10 0.501878
1897 11 0.134053
1897 12 0.136752
1898 1 -0.0408532
1898 2 -0.133355
1898 3 -0.368818
1898 4 -0.175259
1898 5 -0.118853
1898 6 -0.212134
1898 7 0.101005
1898 8 0.0474345
1898 9 0.044523
1898 10 0.0951469
1898 11 -0.165755
1898 12 -0.298598
1899 1 -0.461477
1899 2 -0.535456
1899 3 -0.552855
1899 4 -0.506811
1899 5 -0.44026
1899 6 -0.347486
1899 7 -0.217913
1899 8 -0.279877
1899 9 -0.244105
1899 10 -0.170786
1899 11 -0.166149
1899 12 0.140276
1900 1 0.0979216
1900 2 0.197837
1900 3 0.171606
1900 4 0.196323
1900 5 -0.00752005
1900 6 -0.116084
1900 7 -0.0265283
1900 8 0.0150947
1900 9 0.0287133
1900 10 -0.151236
1900 11 -0.150349
1900 12 0.278645
1901 1 0.309502
1901 2 0.191458
1901 3 0.109251
1901 4 0.0569777
1901 5 0.0392785
1901 6 -0.0758422
1901 7 -0.246545
1901 8 -0.0375417
1901 9 -0.159423
1901 10 -0.106366
1901 11 -0.093223
1901 12 -0.0332429
1902 1 -0.0447497
1902 2 0.0010104
1902 3 -0.209979
1902 4 -0.350175
1902 5 -0.354715
1902 6 -0.219734
1902 7 -0.433923
1902 8 -0.622687
1902 9 -0.705157
1902 10 -0.242733
1902 11 -0.459732
1902 12 -0.157846
1903 1 0.0179251
1903 2 0.0830029
1903 3 -0.0634627
1903 4 0.0311255
1903 5 -0.222286
1903 6 -0.0342939
1903 7 -0.0568904
1903 8 -0.0630909
1903 9 -0.0809716
1903 10 -0.0371625
1903 11 -0.319247
1903 12 -0.338789
1904 1 -0.638223
1904 2 -0.353374
1904 3 -0.441987
1904 4 -0.630705
1904 5 -0.424675
1904 6 -0.311685
1904 7 -0.30583
1904 8 -0.272693
1904 9 -0.1846
1904 10 -0.361645
1904 11 -0.272269
1904 12 -0.0486354
1905 1 -0.0475568
1905 2 -0.0229455
1905 3 0.0878226
1905 4 -0.26443
1905 5 -0.328657
