# siod [Celsius] DMI (WIO-SEIO) SST anomalies
# from <a href=http://www.jamstec.go.jp/frcgc/research/d1/iod/e/iod/about_iod.html>JAMSTEC</a>
1893 9 -0.28786
1893 10 -0.395
1893 11 -0.228262
1893 12 -0.130186
1894 1 0.119047
1894 2 -0.0666423
1894 3 -0.0887655
1894 4 -0.106251
1894 5 0.0150804
1894 6 0.12371
1894 7 0.143521
1894 8 0.431453
1894 9 0.0645958
1894 10 0.0525695
1894 11 -0.00683978
1894 12 -0.0200369
1895 1 0.00164044
1895 2 0.130991
1895 3 0.0590962
1895 4 0.026988
1895 5 0.0742599
1895 6 0.0980946
1895 7 -0.0889259
1895 8 0.230408
1895 9 0.0862698
1895 10 0.222774
1895 11 -0.218954
1895 12 -0.137306
1896 1 -0.18838
1896 2 -0.385213
1896 3 -0.383484
1896 4 -0.0767694
1896 5 0.0170168
1896 6 0.0653402
1896 7 0.217885
1896 8 0.167245
1896 9 0.37291
1896 10 0.671965
1896 11 0.301081
1896 12 0.316284
1897 1 -0.00640525
1897 2 -0.127776
1897 3 -0.111534
1897 4 0.0301341
1897 5 0.0468959
1897 6 -0.0329043
1897 7 0.0703414
1897 8 0.0763877
1897 9 -0.166812
1897 10 -0.727234
1897 11 -0.620499
1897 12 -0.5073
1898 1 -0.35468
1898 2 -0.250991
1898 3 -0.156059
1898 4 -0.163652
1898 5 -0.256816
1898 6 -0.209017
1898 7 -0.483424
1898 8 -0.501683
1898 9 -0.491691
1898 10 -0.524552
1898 11 -0.37787
1898 12 -0.236385
1899 1 -0.219421
1899 2 -0.0968283
1899 3 0.00405908
1899 4 0.075904
1899 5 0.135999
1899 6 -0.159599
1899 7 -0.244381
1899 8 -0.133114
1899 9 -0.524435
1899 10 -0.0389711
1899 11 -0.1625
1899 12 -0.510165
1900 1 -0.279416
1900 2 -0.108289
1900 3 -0.291234
1900 4 -0.113112
1900 5 0.0664887
1900 6 0.172715
1900 7 0.00291053
1900 8 -0.17717
1900 9 -0.143089
1900 10 -0.0422782
1900 11 0.0760207
1900 12 -0.403369
1901 1 -0.350202
1901 2 -0.674244
1901 3 -0.548753
1901 4 -0.309419
1901 5 -0.325098
1901 6 -0.395415
1901 7 -0.387927
1901 8 -0.519909
1901 9 -0.629938
1901 10 -0.382323
1901 11 -0.457391
1901 12 -0.438609
1902 1 -0.268586
1902 2 -0.254888
1902 3 -0.0620038
1902 4 0.262293
1902 5 0.175939
1902 6 0.123273
1902 7 0.245222
1902 8 0.635239
1902 9 0.592703
1902 10 0.144568
1902 11 0.2213
1902 12 -0.0403259
1903 1 -0.290331
1903 2 -0.376496
1903 3 -0.196969
1903 4 -0.416152
1903 5 -0.036206
1903 6 -0.116906
1903 7 -0.287908
1903 8 -0.136738
1903 9 -0.29064
1903 10 -0.642391
1903 11 -0.347688
1903 12 -0.200875
1904 1 -0.0267564
1904 2 -0.0370772
1904 3 -0.0418293
1904 4 0.182322
1904 5 -0.029143
1904 6 -0.0647159
1904 7 0.0425633
1904 8 -0.103197
1904 9 -0.283251
1904 10 0.149023
1904 11 -0.069812
1904 12 -0.404713
1905 1 -0.402759
1905 2 -0.180607
1905 3 -0.299747
1905 4 -0.256251
1905 5 0.0290061
1905 6 -0.23121
1905 7 0.0523538
1905 8 0.0839308
1905 9 0.412556
1905 10 -0.0856864
1905 11 -0.168227
1905 12 -0.329588
1906 1 -0.410073
1906 2 -0.294779
1906 3 -0.337278
1906 4 -0.574181
1906 5 -0.190479
1906 6 -0.165947
1906 7 -0.663169
1906 8 -0.765373
1906 9 -1.22337
1906 10 -0.613888
1906 11 -0.514199
1906 12 -0.110564
1907 1 -0.174925
1907 2 0.00875372
1907 3 0.126696
1907 4 -0.157441
1907 5 -0.076103
1907 6 -0.126631
1907 7 -0.278671
1907 8 -0.626905
1907 9 -0.130995
1907 10 -0.0205441
1907 11 -0.108973
1907 12 0.0109444
1908 1 -0.202235
1908 2 -0.155422
1908 3 -0.0831033
1908 4 -0.575656
1908 5 -0.00556065
1908 6 0.256127
1908 7 -0.272461
1908 8 -0.152376
1908 9 0.0691557
1908 10 -0.0812856
1908 11 -0.221294
1908 12 -0.345457
1909 1 -0.532336
1909 2 -0.29836
1909 3 -0.371635
1909 4 -0.230679
1909 5 -0.568139
1909 6 -0.692852
1909 7 -0.701423
1909 8 -0.678345
1909 9 -0.521783
1909 10 -0.335459
1909 11 -0.136389
1909 12 -0.0145683
1910 1 -0.359496
1910 2 0.0191738
1910 3 -0.318854
1910 4 -0.177615
1910 5 -0.299446
1910 6 -0.239256
1910 7 -0.707887
1910 8 -0.504412
1910 9 -0.622387
1910 10 -0.650678
1910 11 -0.397657
1910 12 -0.0558734
1911 1 0.0085794
1911 2 -0.300587
1911 3 -0.557222
1911 4 -0.531152
1911 5 -0.205527
1911 6 -0.594389
1911 7 -0.445941
1911 8 -0.282348
1911 9 -0.147609
1911 10 -0.272682
1911 11 0.0391415
1911 12 0.0780646
1912 1 -0.0733821
1912 2 -0.110163
1912 3 0.111131
1912 4 -0.0538514
1912 5 0.159304
1912 6 0.21491
1912 7 -0.346925
1912 8 -0.458932
1912 9 -0.330906
1912 10 -0.21222
1912 11 -0.45517
1912 12 -0.263031
1913 1 -0.0476049
1913 2 0.0556706
1913 3 0.0306907
1913 4 -0.0627181
1913 5 0.0364445
1913 6 0.315208
1913 7 -0.0241761
1913 8 -0.177383
1913 9 -0.0761016
1913 10 0.251125
1913 11 0.0289308
1913 12 -0.021523
1914 1 -0.0971741
1914 2 0.0148067
1914 3 -0.179462
1914 4 -0.0312114
1914 5 0.120782
1914 6 0.758889
1914 7 0.402111
1914 8 0.26975
1914 9 0.325136
1914 10 0.323722
1914 11 -0.288601
1914 12 -0.478166
1915 1 -0.439329
1915 2 -0.499801
1915 3 -0.227688
1915 4 -0.0792731
1915 5 -0.266507
1915 6 0.0213961
1915 7 -0.382606
1915 8 -0.12961
1915 9 0.0172431
1915 10 0.072789
1915 11 0.048611
1915 12 0.208645
1916 1 0.0598091
1916 2 0.16033
1916 3 0.236341
1916 4 0.340589
1916 5 0.070858
1916 6 -0.180648
1916 7 -0.362072
1916 8 -0.535714
1916 9 -0.858074
1916 10 -0.567748
1916 11 -0.432404
1916 12 -0.0468616
1917 1 0.161482
1917 2 0.137863
1917 3 0.088045
1917 4 -0.0282656
1917 5 -0.172963
1917 6 -0.120942
1917 7 -0.268038
1917 8 -0.120709
1917 9 -0.467422
1917 10 -0.668037
1917 11 -0.608786
1917 12 -0.432132
1918 1 0.201137
1918 2 0.326747
1918 3 0.27958
1918 4 -0.0816759
1918 5 -0.192207
1918 6 0.0191078
1918 7 0.1896
1918 8 0.228266
1918 9 0.385203
1918 10 0.534474
1918 11 0.470398
1918 12 0.286795
1919 1 0.156724
1919 2 0.06579
1919 3 -0.104119
1919 4 -0.207004
1919 5 -0.171484
1919 6 -0.141987
1919 7 0.136284
1919 8 -0.0115143
1919 9 0.161358
1919 10 0.0395086
1919 11 0.0112517
1919 12 -0.172269
1920 1 0.198956
1920 2 0.237901
1920 3 0.307937
1920 4 0.26116
1920 5 0.490853
1920 6 0.152997
1920 7 -0.265592
1920 8 -0.285891
1920 9 -0.214636
1920 10 -0.0623521
1920 11 -0.302238
1920 12 -0.156747
1921 1 -0.105773
1921 2 0.0369684
1921 3 0.0949641
1921 4 0.0134385
1921 5 0.179
1921 6 -0.00151917
1921 7 -0.118538
1921 8 -0.629168
1921 9 -0.151165
1921 10 -0.0835958
1921 11 -0.202587
1921 12 -0.153082
1922 1 -0.189972
1922 2 -0.0134464
1922 3 0.247972
1922 4 -0.185042
1922 5 -0.149247
1922 6 0.134754
1922 7 -0.228501
1922 8 -0.108829
1922 9 -0.123679
1922 10 -0.144848
1922 11 -0.267734
1922 12 -0.0724502
1923 1 -0.0167178
1923 2 -0.218411
1923 3 -0.109588
1923 4 -0.0396945
1923 5 -0.087715
1923 6 0.113207
1923 7 -0.0870493
1923 8 0.294043
1923 9 0.626581
1923 10 0.645427
1923 11 0.708465
1923 12 0.0218743
1924 1 -0.251263
1924 2 -0.407625
1924 3 -0.253392
1924 4 -0.0586058
1924 5 -0.181196
1924 6 -0.218923
1924 7 -0.0788885
1924 8 -0.124243
1924 9 -0.261463
1924 10 0.184221
1924 11 -0.123249
1924 12 -0.132993
1925 1 -0.127392
1925 2 0.157835
1925 3 0.164478
1925 4 0.681305
1925 5 0.178339
1925 6 0.296238
1925 7 0.135753
1925 8 0.262037
1925 9 0.760894
1925 10 0.475738
1925 11 0.378995
1925 12 0.0784817
1926 1 0.181994
1926 2 -0.17322
1926 3 0.129888
1926 4 -0.04748
1926 5 0.141867
1926 6 0.353722
1926 7 0.0785073
1926 8 0.287474
1926 9 -0.0119425
1926 10 0.262389
1926 11 -0.220252
1926 12 -0.185938
1927 1 -0.0140026
1927 2 0.225972
1927 3 -0.0261768
1927 4 -0.194654
1927 5 -0.0257422
1927 6 0.0505514
1927 7 -0.256984
1927 8 -0.305139
1927 9 -0.266044
1927 10 -0.216296
1927 11 -0.0100379
1927 12 -0.14404
1928 1 -0.184071
1928 2 -0.172387
1928 3 -0.110427
1928 4 -0.104405
1928 5 -0.048842
1928 6 -0.253106
1928 7 -0.327142
1928 8 -0.577011
1928 9 -0.482786
1928 10 -0.33349
1928 11 0.0748654
1928 12 -0.135854
1929 1 -0.0915311
1929 2 -0.16723
1929 3 -0.063742
1929 4 -0.0148692
1929 5 -0.134559
1929 6 -0.0336463
1929 7 -0.080391
1929 8 -0.185101
1929 9 0.0794427
1929 10 0.0266136
1929 11 -0.0079311
1929 12 0.202515
1930 1 -0.235698
1930 2 -0.327292
1930 3 -0.143162
1930 4 -0.0457886
1930 5 -0.222633
1930 6 0.065519
1930 7 -0.0937469
1930 8 -0.0342908
1930 9 -0.412675
1930 10 -0.0379173
1930 11 0.37947
1930 12 0.116098
1931 1 0.132164
1931 2 -0.14234
